DATE,A792RC0Q052SBEA
1983-01-01,12388.0
1983-04-01,12577.0
1983-07-01,12797.0
1983-10-01,13132.0
1984-01-01,13481.0
1984-04-01,13803.0
1984-07-01,14082.0
1984-10-01,14278.0
1985-01-01,14522.0
1985-04-01,14665.0
1985-07-01,14832.0
1985-10-01,15061.0
1986-01-01,15295.0
1986-04-01,15431.0
1986-07-01,15583.0
1986-10-01,15699.0
1987-01-01,15880.0
1987-04-01,16086.0
1987-07-01,16338.0
1987-10-01,16703.0
1988-01-01,17007.0
1988-04-01,17291.0
1988-07-01,17627.0
1988-10-01,17932.0
1989-01-01,18396.0
1989-04-01,18574.0
1989-07-01,18746.0
1989-10-01,18999.0
1990-01-01,19344.0
1990-04-01,19613.0
1990-07-01,19789.0
1990-10-01,19808.0
1991-01-01,19812.0
1991-04-01,19996.0
1991-07-01,20130.0
1991-10-01,20363.0
1992-01-01,20726.0
1992-04-01,21024.0
1992-07-01,21181.0
1992-10-01,21410.0
1993-01-01,21447.0
1993-04-01,21672.0
1993-07-01,21757.0
1993-10-01,21994.0
1994-01-01,22124.0
1994-04-01,22456.0
1994-07-01,22633.0
1994-10-01,22982.0
1995-01-01,23264.0
1995-04-01,23458.0
1995-07-01,23674.0
1995-10-01,23878.0
1996-01-01,24250.0
1996-04-01,24656.0
1996-07-01,24851.0
1996-10-01,25103.0
1997-01-01,25476.0
1997-04-01,25701.0
1997-07-01,26030.0
1997-10-01,26451.0
1998-01-01,26974.0
1998-04-01,27364.0
1998-07-01,27662.0
1998-10-01,27910.0
1999-01-01,28179.0
1999-04-01,28318.0
1999-07-01,28625.0
1999-10-01,29128.0
2000-01-01,29891.0
2000-04-01,30318.0
2000-07-01,30809.0
2000-10-01,31093.0
2001-01-01,31585.0
2001-04-01,31640.0
2001-07-01,31504.0
2001-10-01,31391.0
2002-01-01,31480.0
2002-04-01,31755.0
2002-07-01,31830.0
2002-10-01,32037.0
2003-01-01,32135.0
2003-04-01,32416.0
2003-07-01,32778.0
2003-10-01,33168.0
2004-01-01,33435.0
2004-04-01,33921.0
2004-07-01,34311.0
2004-10-01,34939.0
2005-01-01,34895.0
2005-04-01,35381.0
2005-07-01,35843.0
2005-10-01,36393.0
2006-01-01,37296.0
2006-04-01,37726.0
2006-07-01,37940.0
2006-10-01,38323.0
2007-01-01,39035.0
2007-04-01,39504.0
2007-07-01,39665.0
2007-10-01,39992.0
2008-01-01,40426.0
2008-04-01,41473.0
2008-07-01,40872.0
2008-10-01,40434.0
2009-01-01,39292.0
2009-04-01,39357.0
2009-07-01,39092.0
2009-10-01,39344.0
2010-01-01,39782.0
2010-04-01,40428.0
2010-07-01,40749.0
2010-10-01,41141.0
2011-01-01,42194.0
2011-04-01,42474.0
2011-07-01,42842.0
2011-10-01,42963.0
2012-01-01,43721.0
2012-04-01,44062.0
2012-07-01,43843.0
2012-10-01,45257.0
2013-01-01,43976.0
2013-04-01,44318.0
2013-07-01,44498.0
2013-10-01,44674.0
2014-01-01,45380.0
2014-04-01,46022.0
2014-07-01,46540.0
2014-10-01,47085.0
2015-01-01,47595.0
2015-04-01,47963.0
2015-07-01,48217.0
2015-10-01,48375.0
2016-01-01,48527.0
2016-04-01,48682.0
2016-07-01,49059.0
2016-10-01,49504.0
2017-01-01,50168.0
2017-04-01,50684.0
2017-07-01,51193.0
2017-10-01,51864.0
2018-01-01,52439.0
2018-04-01,52986.0
2018-07-01,53636.0
2018-10-01,54177.0
2019-01-01,55030.0
2019-04-01,55391.0
2019-07-01,55687.0
2019-10-01,56128.0
2020-01-01,56613.0
2020-04-01,60878.0
2020-07-01,59762.0
2020-10-01,59274.0
2021-01-01,66732.0
2021-04-01,63326.0
2021-07-01,63606.0
2021-10-01,64119.0
2022-01-01,64739.0
2022-04-01,65562.0
2022-07-01,66814.0
2022-10-01,67760.0
2023-01-01,68694.0
2023-04-01,69533.0
2023-07-01,70156.0
2023-10-01,70873.0
2024-01-01,72387.0
2024-04-01,73242.0
2024-07-01,73791.0
