Age,10%,25%,Median,75%,90%,99%,Average
16,0,300,2500,6500,17000,76200,6777.18
17,0,1000,3500,8000,15000,60000,6642.97
18,0,1800,6500,15000,27119,76000,12504.3
19,100,5000,13400,25020,37001,100600,18470.61
20,2000,8000,19001,31685,50000,100520,23778.43
21,3200,10000,20902,35075,51000,107300,26210.37
22,4800,13170,25200,40000,58802,113000,30708.86
23,5551,16000,30000,45003,62400,128651,33914.49
24,7501,20000,34001,50250,78540,160600,42224.44
25,8300,24000,40000,62256,90620,201005,49814.72
26,14000,27700,43370,65500,94306,193000,51874.49
27,12001,26000,44010,66025,96503,191205,52756.36
28,13000,29000,46495,72500,104722,308550,61058.4
29,16000,30001,50200,80000,115151,304130,63231.7
30,15000,30000,50501,82000,127039,300054,66904.53
31,14001,30050,50595,81452,124108,300000,66461.67
32,18480,34000,55060,86001,148004,324144,74481.3
33,17000,30002,53000,90000,137102,300002,69775.54
34,17001,33225,56020,91550,139961,363213,75473.68
35,16035,35000,60000,97000,155000,550001,84002.58
36,15200,35000,57010,94507,151001,400650,76661.59
37,16000,35000,56000,100054,165000,409850,80180.47
38,15001,31200,55052,98002,152000,426600,78235.03
39,16200,35012,60010,101900,167600,457300,85931.04
40,15000,32600,59501,93900,150021,477701,79323.19
41,16001,35400,60000,100015,157075,450000,84115.71
42,18000,34500,60000,100000,155900,485505,82076.26
43,20000,36035,60100,100599,170000,500000,85163.35
44,20007,36001,60150,101563,165000,500055,85919.93
45,20000,35000,60002,101000,165250,517050,85450.35
46,18001,35005,62000,107213,182707,854501,94887.73
47,20000,35000,60000,101600,163110,530106,85654.37
48,20696,37005,65000,110000,180000,472514,89974.65
49,19000,35005,62000,110010,176200,603060,90341.95
50,21840,38075,68790,112501,180005,473000,93508.27
51,19229,35401,60020,108113,177500,483420,88332.38
52,21000,38205,65288,115740,183415,470005,92184.94
53,20003,36000,63062,105200,176600,500776,89568.66
54,20000,36400,62012,106001,173000,470005,88408.14
55,18002,36010,60050,103200,175504,483429,84737.64
56,20000,34500,60038,106710,174007,400051,87607.78
57,20986,39903,64005,111200,189411,549038,93063.56
58,23000,36000,60600,103000,170068,551500,89626.26
59,20000,35064,60003,101011,162504,401750,85828.91
60,19011,33550,60000,112550,186421,420650,89798.9
61,18050,34001,60005,100515,160912,529106,86763.47
62,20000,35001,64005,108144,167900,515205,91144.69
63,18001,34731,60000,103690,165200,438700,83391.72
64,20002,34650,60500,102010,165956,653012,88238.26
65,19000,35005,57668,100255,187000,571700,90170.79
66,19500,35000,58186,110923,175523,605017,90507.19
67,19200,36000,60001,95800,159433,600820,87054.95
68,20932,35000,60650,105200,192820,651100,96516.8
69,18338,32998,55005,95340,184125,436646,83801.57
70,24863,39078,66391,107548,191391,633704,98751.7
71,24210,40582,65000,113002,194768,622301,98824.42
72,23700,36800,60860,101636,184250,744500,89975.56
73,25779,37070,59364,103943,175020,383955,82739.98
74,21861,35912,60645,98253,174727,1000000,104163.02
75,23688,34016,56690,93339,202200,869999,106557.12
